anio,jugadores,tiempo,edad,estrategia,nombre,categorias,sistemas,familia,nota,cantidad,desviacion
2016,1–4,60–120,14+,2.92,Arkham Horror: The Card Game,Card Game|#|Fantasy|#|Horror|#|Novel-based,Co-operative Play|#|Hand Management|#|Variable Player Powers,Arkham Horror|#|Campaign Games|#|Cthulhu Mythos|#|Living Card Game|#|Solitaire Games,8608,1296,1.30
2015,3–4,90–120,14+,3.11,Cthulhu Wars,Fantasy|#|Fighting|#|Horror|#|Miniatures,Action Point Allowance System|#|Area Movement|#|Dice Rolling|#|Variable Player Powers,Crowdfunding: Kickstarter|#|Cthulhu Mythos|#|Cthulhu Wars,8057,1876,1.59
1995,3–4,60–120,10+,2.36,Catan,Negotiation,Dice Rolling|#|Hand Management|#|Modular Board|#|Route/Network Building|#|Trading,Catan|#|Promotional Board Games,7281,63582,1.45
2011,2–5,30–90,8+,2.60,Small World Underground,Fantasy|#|Fighting|#|Territory Building,Area Control / Area Influence|#|Area Movement|#|Dice Rolling|#|Variable Player Powers,Small World,7394,6616,1.27
2012,1–5,60–90,12+,2.74,Thunderstone Advance: Towers of Ruin,Card Game|#|Fantasy,Card Drafting|#|Deck / Pool Building|#|Hand Management,Solitaire Games|#|Thunderstone|#|Thunderstone Advance,7528,3931,1.38
2015,2–4,60–120,14+,4.01,Trickerion: Legends of Illusion,N/A,Action Point Allowance System|#|Simultaneous Action Selection|#|Tile Placement|#|Worker Placement,Crowdfunding: Kickstarter,7876,2008,1.36
2009,2–4,90,12+,2.83,Egizia,Ancient|#|Farming,Card Drafting|#|Worker Placement,Country: Egypt,7457,4244,1.19
2002,2,120–180,12+,2.99,Hammer of the Scots,Medieval|#|Wargame,Area Movement|#|Area-Impulse|#|Campaign / Battle Card Driven|#|Dice Rolling|#|Hand Management|#|Secret Unit Deployment|#|Simultaneous Action Selection,Block wargames|#|Country: Scotland,7573,3342,1.39
2007,2–5,90,13+,2.43,Kingsburg,City Building|#|Dice|#|Fantasy|#|Medieval,Dice Rolling|#|Worker Placement,N/A,7247,1457,1.21
2014,2–5,30,8+,2.07,Pandemic: The Cure,Dice|#|Medical,Co-operative Play|#|Dice Rolling|#|Press Your Luck|#|Variable Player Powers,Pandemic,7425,5003,1.16
2004,2–4,90,8+,2.29,Heroscape Master Set: Rise of the Valkyrie,Adventure|#|Fantasy|#|Fighting|#|Miniatures|#|Science Fiction,Dice Rolling|#|Grid Movement|#|Modular Board,3D Games|#|Heroscape,7415,6782,1.53
2016,2–4,30–60,8+,2.20,Quadropolis,City Building,Set Collection|#|Tile Placement,N/A,7514,3899,1.08
2008,4–18,60,12+,1.20,Time's Up! Title Recall!,Humor|#|Movies / TV / Radio theme|#|Party Game,Acting|#|Memory|#|Partnerships,Time's Up!,7800,2021,1.47
1997,3–6,20,8+,1.29,For Sale,Card Game|#|Economic,Auction/Bidding|#|Hand Management,Gryphon Games bookshelf series,7219,14453,1.14
2010,2,90,14+,2.73,Commands & Colors: Napoleonics,Napoleonic|#|Wargame,Campaign / Battle Card Driven|#|Dice Rolling|#|Hand Management|#|Hex-and-Counter|#|Modular Board,Commands & Colors|#|Commands & Colors: Napoleonics,7971,1702,1.47
2012,1–6,45–180,13+,2.59,Zombicide,Horror|#|Miniatures|#|Zombies,Action Point Allowance System|#|Co-operative Play|#|Dice Rolling|#|Hand Management|#|Modular Board|#|Player Elimination|#|Variable Player Powers,Crowdfunding: Kickstarter|#|Solitaire Games|#|Zombicide,7347,10138,1.56
2000,3–5,75–100,12+,3.01,Taj Mahal,Bluffing|#|Political,Auction/Bidding|#|Card Drafting|#|Hand Management|#|Route/Network Building|#|Set Collection,Alea Big Box|#|Asian Theme|#|Country: India,7342,6126,1.32
2012,2–5,30–240,14+,3.72,Archipelago,Civilization|#|Economic|#|Exploration|#|Nautical|#|Negotiation|#|Renaissance,Area Control / Area Influence|#|Auction/Bidding|#|Commodity Speculation|#|Modular Board|#|Tile Placement|#|Trading|#|Worker Placement,Colonial Theme|#|Tropical theme,7430,4685,1.56
