anio,jugadores,tiempo,edad,estrategia,nombre,categorias,sistemas,familia,nota,cantidad,desviacion
2009,2–4,120,10+,3.67,Stronghold,Fantasy|#|Fighting|#|Medieval,Action Point Allowance System|#|Area Control / Area Influence|#|Point to Point Movement|#|Variable Player Powers,N/A,7289,3063,1.40
2000,3–5,50–60,12+,2.46,Web of Power,Medieval|#|Territory Building,Area Control / Area Influence|#|Card Drafting|#|Hand Management|#|Route/Network Building,Web of Power / China,7306,3016,1.34
2015,1–4,20–90,13+,3.02,Shakespeare,Renaissance,Action Point Allowance System|#|Auction/Bidding|#|Card Drafting,Celebrities: Shakespeare|#|Ystari originals,7550,187,1.13
2011,2–5,60–120,10+,2.88,Core Worlds,Card Game|#|Civilization|#|Science Fiction|#|Space Exploration,Card Drafting|#|Deck / Pool Building|#|Hand Management,N/A,7271,316,1.31
2011,2–4,120,13+,3.43,Tragedy Looper,Bluffing|#|Deduction|#|Murder/Mystery,Grid Movement|#|Memory|#|Partnerships,Anime & Manga|#|Time Travel,7427,2369,1.44
1999,2,20,8+,1.73,Schotten Totten,Card Game|#|Deduction,Hand Management|#|Set Collection,Country: Scotland|#|IELLO: Mini Games|#|Schotten-Totten,7261,3225,1.23
2015,2–5,60–150,10+,3.81,Argent: The Consortium,Fantasy|#|Political,Area Control / Area Influence|#|Deck / Pool Building|#|Time Track|#|Variable Player Powers|#|Worker Placement,Crowdfunding: Kickstarter|#|World of Indines,7831,1299,1.47
2011,1–4,30,13+,2.36,Ascension: Storm of Souls,Card Game|#|Fantasy,Card Drafting|#|Deck / Pool Building|#|Hand Management,Ascension Deck Building Game|#|Solitaire Games,7382,2661,1.34
2013,1–4,60,8+,2.72,Legacy: The Testament of Duke de Crecy,Age of Reason|#|Card Game|#|Economic,Card Drafting|#|Hand Management|#|Set Collection|#|Worker Placement,Cities: Paris (France)|#|Country: France,7308,2863,1.22
2011,1–8,90,13+,2.35,Elder Sign,Adventure|#|Card Game|#|Dice|#|Fantasy|#|Fighting|#|Horror|#|Novel-based,Co-operative Play|#|Dice Rolling|#|Modular Board|#|Variable Player Powers,Arkham Horror|#|Cthulhu Mythos|#|Elder Sign|#|Fantasy Flight Silver Line Games|#|Solitaire Games,7014,14102,1.37
2015,2–5,30–75,10+,2.40,Broom Service,Bluffing|#|Card Game|#|Fantasy,Pick-up and Deliver|#|Press Your Luck|#|Simultaneous Action Selection,Alea Big Box,7299,285,1.23
2000,2–4,120,12+,2.50,Star Wars: The Queen's Gambit,Fighting|#|Miniatures|#|Movies / TV / Radio theme|#|Science Fiction|#|Wargame,Campaign / Battle Card Driven|#|Simultaneous Action Selection,3D Games|#|Star Wars,7552,1837,1.42
2013,2–4,60–75,10+,2.57,Coal Baron,Industry / Manufacturing|#|Transportation,Action Point Allowance System|#|Pick-up and Deliver|#|Set Collection|#|Tile Placement|#|Worker Placement,Admin: Better Description Needed!|#|Country: Germany|#|Mining,7331,2707,1.05
2012,1–4,120,13+,3.27,Conflict of Heroes: Awakening the Bear! (second edition),Wargame|#|World War II,Action Point Allowance System|#|Dice Rolling|#|Hex-and-Counter|#|Modular Board|#|Simulation,Conflict of Heroes,8142,1011,1.31
2009,1–2,480,12+,3.38,D-Day at Omaha Beach,Wargame|#|World War II,Hex-and-Counter|#|Secret Unit Deployment|#|Simulation,Country: France|#|D-Day Series|#|Solitaire Games|#|Solitaire Wargames,8235,931,1.48
2001,3–4,90,10+,2.68,San Marco,Medieval|#|Political,Area Control / Area Influence|#|Card Drafting,Cities: Venice|#|Country: Italy,7191,3749,1.26
2004,2–4,30–45,8+,2.27,Carcassonne: The City,City Building|#|Medieval,Area Control / Area Influence|#|Tile Placement,Carcassonne,7207,3721,1.26
2013,3–8,15,8+,1.30,BANG! The Dice Game,American West|#|Bluffing|#|Deduction|#|Dice|#|Fighting|#|Party Game,Dice Rolling|#|Partnerships|#|Player Elimination|#|Variable Player Powers,BANG!,7028,9075,1.24
2005,2–4,75–100,12+,3.01,Louis XIV,Age of Reason|#|Card Game|#|Political,Area Control / Area Influence|#|Hand Management|#|Modular Board|#|Set Collection,Alea Medium Box,7122,4923,1.23
2006,2–4,60,10+,2.30,Blue Moon City,City Building|#|Fantasy,Area Control / Area Influence|#|Grid Movement|#|Hand Management|#|Modular Board|#|Set Collection,Animals: Dragons|#|Blue Moon Series,7058,6642,1.20
2003,3–5,75,10+,2.50,Santiago,Farming|#|Negotiation,Area Control / Area Influence|#|Auction/Bidding|#|Commodity Speculation|#|Tile Placement,Country: Cape Verde,7150,4248,1.22
2015,2–10,30,7+,1.36,Flick 'em Up!,Action / Dexterity|#|American West,Action Point Allowance System|#|Take That,Finger Flicking Games|#|Forgenext,7263,311,1.26
2009,1–4,120,12+,3.13,Conflict of Heroes: Storms of Steel! – Kursk 1943,Wargame|#|World War II,Action Point Allowance System|#|Dice Rolling|#|Hex-and-Counter|#|Modular Board|#|Simulation,Conflict of Heroes|#|Country: Russia|#|Solitaire Games|#|Solitaire Wargames,7792,1335,1.52
2011,2–5,90,13+,2.89,Hawaii,N/A,Action Point Allowance System|#|Area Movement|#|Modular Board,States: Hawaii|#|Tropical theme,7232,3224,1.29
1986,3–5,240,12+,3.17,Britannia,Civilization|#|Medieval|#|Wargame,Area Movement|#|Dice Rolling|#|Variable Player Powers|#|Voting,Ancient Rome|#|Britannia game-system|#|Country: England|#|Country: Scotland|#|Country: United Kingdom|#|Country: Wales|#|The Legend of King Arthur and the Knights of the Round Table,7243,3514,1.48
2011,1–5,60,12+,2.63,Dungeons & Dragons: Wrath of Ashardalon Board Game,Adventure|#|Exploration|#|Fantasy|#|Miniatures,Co-operative Play|#|Dice Rolling|#|Grid Movement|#|Modular Board|#|Role Playing|#|Variable Player Powers,Dungeons & Dragons|#|Dungeons and Dragons Adventure System Board Games|#|From RPG books to board games|#|Solitaire Games,7229,4241,1.36
2003,2,30,8+,1.98,Carcassonne: The Castle,City Building|#|Medieval,Area Control / Area Influence|#|Area Enclosure|#|Tile Placement,Carcassonne,7086,6273,1.28
2010,1–4,30,13+,2.16,Ascension: Deckbuilding Game,Card Game|#|Fantasy,Card Drafting|#|Deck / Pool Building|#|Hand Management,Ascension Deck Building Game,7055,8328,1.39
2007,2–6,90,12+,2.29,Last Night on Earth: The Zombie Game,Fighting|#|Horror|#|Miniatures|#|Zombies,Dice Rolling|#|Hand Management|#|Modular Board|#|Partnerships|#|Roll / Spin and Move|#|Variable Player Powers,Last Night on Earth Game Engine,7049,11701,1.50
2009,1–5,60,12+,2.50,Thunderstone,Card Game|#|Fantasy|#|Fighting,Card Drafting|#|Deck / Pool Building|#|Hand Management,Solitaire Games|#|Thunderstone,7022,8795,1.45
2012,1–5,120,12+,3.88,CO₂,Economic|#|Environmental|#|Industry / Manufacturing,Area Control / Area Influence|#|Card Drafting|#|Worker Placement,Global warming|#|Solitaire Games,7285,2785,1.43
2005,3–7,25,10+,1.22,Wits & Wagers,Party Game|#|Trivia,Betting/Wagering|#|Paper-and-Pencil,Mensa Select|#|Wits & Wagers,6994,9462,1.25
2014,2–5,60,13+,2.72,Saint Petersburg (second edition),Age of Reason|#|Card Game|#|City Building|#|Economic,Card Drafting|#|Set Collection,Crowdfunding: Spieleschmiede,7681,1427,1.20
2015,1–7,20,8+,1.81,Between Two Cities,City Building|#|Negotiation,Card Drafting|#|Partnerships|#|Set Collection|#|Tile Placement,Crowdfunding: Kickstarter,7154,4041,1.15
2014,3–5,90,14+,2.64,Lords of Xidit,Fantasy,Action / Movement Programming|#|Area Control / Area Influence|#|Pick-up and Deliver|#|Point to Point Movement|#|Simultaneous Action Selection,Admin: Better Description Needed!|#|Kingdom of Xidit,7313,2569,1.25
2015,2–4,30–40,8+,1.52,Karuba,Puzzle,Simultaneous Action Selection|#|Tile Placement,Admin: Better Description Needed!|#|Archaeology|#|Tropical theme,7350,2392,1.11
2014,2–7,90,10+,2.37,Thunder Alley,Racing|#|Sports,Hand Management,Crowdfunding: Kickstarter|#|Sports: Auto Racing,7439,2018,1.44
2011,1–2,30,13+,2.19,Ascension: Return of the Fallen,Card Game|#|Fantasy,Card Drafting|#|Deck / Pool Building|#|Hand Management,Ascension Deck Building Game|#|Solitaire Games,7355,2575,1.28
1996,2,45,10+,2.91,Netrunner,Card Game|#|Collectible Components|#|Science Fiction,Action Point Allowance System,CCGs (Collectible Card Games)|#|Cyberpunk|#|Hackers|#|Netrunner,7466,2071,1.62
2000,2–5,120,12+,3.27,La Città,City Building|#|Civilization|#|Renaissance|#|Territory Building,Area Control / Area Influence|#|Card Drafting|#|Commodity Speculation|#|Modular Board|#|Tile Placement,Country: Italy,7113,4582,1.26
2010,2,60–120,12+,3.19,Battles of Westeros,Fantasy|#|Fighting|#|Medieval|#|Novel-based|#|Wargame,Campaign / Battle Card Driven|#|Dice Rolling|#|Hand Management|#|Modular Board|#|Variable Player Powers,Battles of Westeros|#|Commands & Colors|#|A Song of Ice and Fire,7400,2283,1.45
2013,2–5,90,12+,3.57,Brew Crafters,Economic|#|Industry / Manufacturing,Partnerships|#|Worker Placement,Beer|#|Crowdfunding: Kickstarter,7677,1408,1.25
2005,2–6,120,12+,3.02,Antike,Ancient|#|Civilization|#|Fighting|#|Nautical|#|Territory Building,Area Control / Area Influence|#|Area Movement,Ancient Rome|#|Antike|#|Country: Greece|#|Rondel Series,7138,4248,1.34
2016,1–4,60–90,14+,3.03,51st State: Master Set,Card Game|#|City Building|#|Economic|#|Science Fiction,Card Drafting|#|Hand Management|#|Variable Phase Order,Tableau Building,8000,1062,1.16
2007,2–4,120,12+,3.46,Tide of Iron,Wargame|#|World War II,Action Point Allowance System|#|Dice Rolling|#|Hand Management|#|Hex-and-Counter|#|Modular Board|#|Partnerships|#|Time Track,Admin: Better Description Needed!|#|Fantasy Flight Big Box|#|Tide Of Iron,7266,3392,1.50
2015,2–4,45,9+,2.73,Summoner Wars: Alliances Master Set,Card Game|#|Fantasy|#|Fighting,Dice Rolling|#|Grid Movement|#|Hand Management|#|Variable Player Powers,Summoner Wars,8384,794,1.42
2015,2–4,60,14+,2.37,Discoveries,American West|#|Dice,Deck / Pool Building|#|Dice Rolling|#|Set Collection|#|Worker Placement,N/A,7234,2378,1.11
2014,1–2,15,14+,1.64,Onirim (second edition),Card Game|#|Exploration|#|Fantasy,Card Drafting|#|Co-operative Play|#|Hand Management|#|Set Collection,Oniverse|#|Solitaire Games,7344,2072,1.27
1999,1–15,30,10+,2.46,Ricochet Robots,Abstract Strategy|#|Maze|#|Puzzle|#|Real-time,Grid Movement|#|Modular Board,Robots|#|Solitaire Games,6994,6036,1.65
2011,2–5,90,12+,3.33,Vanuatu,Economic|#|Nautical,Action Point Allowance System|#|Auction/Bidding|#|Modular Board|#|Variable Phase Order|#|Worker Placement,Country: Vanuatu|#|Crowdfunding: Indiegogo|#|Oceanian Theme|#|Tropical theme,7310,2055,1.44
2012,2–4,45,12+,2.03,Smash Up,Card Game|#|Fantasy|#|Horror|#|Humor|#|Pirates|#|Prehistoric|#|Science Fiction|#|Spies/Secret Agents|#|Zombies,Area Control / Area Influence|#|Hand Management|#|Variable Player Powers,Robots|#|Smash Up,6918,14504,1.46
2011,2–4,60,12+,2.77,Ninjato,Fighting|#|Medieval|#|Political,Card Drafting|#|Press Your Luck|#|Set Collection|#|Worker Placement,Asian Theme|#|Country: Japan|#|Ninja,7285,2208,1.18
2011,3–6,25,9+,1.53,Pictomania,Party Game|#|Real-time,Line Drawing,N/A,7401,1753,1.28
2014,2,60–150,12+,3.60,Wir sind das Volk!,Political,Campaign / Battle Card Driven|#|Card Drafting|#|Simulation,Country: Germany,7985,937,1.17
2010,2,15,14+,1.80,Mr. Jack Pocket,Bluffing|#|Deduction|#|Murder/Mystery|#|Post-Napoleonic,Modular Board,Characters: Jack the Ripper|#|Characters: Sherlock Holmes|#|Cities: London|#|Country: England|#|Mr. Jack,7017,4763,1.16
2013,2–4,45,8+,1.48,Terror in Meeple City,Action / Dexterity|#|Horror,Area Movement|#|Set Collection|#|Variable Player Powers,Finger Flicking Games|#|Kaiju|#|Monsters,6986,5434,1.25
2008,5–68,30–90,8+,1.49,Ultimate Werewolf: Ultimate Edition,Bluffing|#|Card Game|#|Deduction|#|Horror|#|Murder/Mystery|#|Negotiation|#|Party Game,Partnerships|#|Role Playing|#|Voting,Werewolf / Mafia,7188,2895,1.70
2004,1–4,30,13+,1.05,Tumblin-Dice,Action / Dexterity|#|Dice|#|Party Game,Dice Rolling,Finger Flicking Games|#|Solitaire Games,7165,2795,1.37
2008,2–5,45–60,10+,2.05,Snow Tails,Animals|#|Racing|#|Sports,Hand Management|#|Modular Board|#|Player Elimination,Admin: Better Description Needed!|#|Animals: Dogs|#|Arctic Theme|#|Sports: Winter Sports,6997,4656,1.18
2010,2–5,30–90,12+,1.94,Catacombs,Action / Dexterity|#|Adventure|#|Fantasy|#|Fighting,Partnerships|#|Player Elimination|#|Role Playing|#|Variable Player Powers,Catacombs|#|Crowdfunding: Kickstarter|#|Finger Flicking Games,7193,2696,1.33
2010,1–5,60,12+,2.52,Dungeons & Dragons: Castle Ravenloft Board Game,Adventure|#|Exploration|#|Fantasy|#|Fighting|#|Horror|#|Miniatures,Co-operative Play|#|Dice Rolling|#|Grid Movement|#|Modular Board|#|Role Playing|#|Variable Player Powers,Dungeons & Dragons|#|Dungeons and Dragons Adventure System Board Games|#|From RPG books to board games|#|Solitaire Games|#|Vampires,6996,6648,1.43
2012,2–5,90,10+,2.17,1812: The Invasion of Canada,Educational|#|Wargame,Area Movement|#|Campaign / Battle Card Driven|#|Dice Rolling|#|Partnerships|#|Variable Player Powers,Birth of America Series|#|Country: Canada,7407,1696,1.23
2005,3–5,45,12+,2.29,China,Ancient|#|Territory Building,Area Control / Area Influence|#|Card Drafting|#|Hand Management|#|Route/Network Building,Asian Theme|#|Country: China|#|Web of Power / China,7037,3917,1.17
2016,2–4,40,10+,2.18,Imhotep,Ancient,Area Control / Area Influence|#|Modular Board,3D Games|#|Country: Egypt,7315,2008,1.19
2005,3–5,60,10+,2.04,Manila,Nautical|#|Pirates|#|Transportation,Auction/Bidding|#|Betting/Wagering|#|Commodity Speculation|#|Dice Rolling|#|Worker Placement,Admin: Better Description Needed!|#|Asian Theme|#|Cities: Manila|#|Colonial Theme|#|Country: Philippines|#|Tropical theme,7021,4382,1.26
2015,2–4,60–75,13+,2.32,Super Motherload,Science Fiction|#|Video Game Theme,Deck / Pool Building|#|Hand Management|#|Set Collection|#|Tile Placement|#|Variable Player Powers,Games by the Game Artisans of Canada|#|Mars|#|Mining,7602,1272,1.05
2008,2–5,120,14+,3.76,Planet Steam,Economic|#|Science Fiction,Auction/Bidding|#|Commodity Speculation|#|Trading,Mars|#|Steampunk,7287,2075,1.41
2008,2,60,10+,2.10,Manoeuvre,Napoleonic|#|Wargame,Campaign / Battle Card Driven|#|Dice Rolling|#|Grid Movement|#|Hand Management|#|Modular Board|#|Variable Player Powers,N/A,7302,1989,1.39
2015,2–4,120–180,14+,2.73,Runebound (Third Edition),Adventure|#|Dice|#|Exploration|#|Fantasy|#|Miniatures,Deck / Pool Building|#|Dice Rolling|#|Variable Player Powers,The Realms of Terrinoth|#|Runebound,7634,1398,1.43
1989,2–5,90,10+,2.18,HeroQuest,Adventure|#|Exploration|#|Fantasy|#|Fighting|#|Miniatures,Dice Rolling|#|Grid Movement|#|Modular Board|#|Partnerships|#|Role Playing|#|Roll / Spin and Move|#|Variable Player Powers,Campaign Games|#|HeroQuest|#|Warhammer Fantasy Board Games,7002,7882,1.52
2016,2–4,45–60,14+,2.29,Mystic Vale,Card Game|#|Fantasy,Deck / Pool Building|#|Press Your Luck,N/A,7376,1846,1.33
2010,2,45,10+,2.32,The Rivals for Catan,Card Game|#|Territory Building,Card Drafting|#|Dice Rolling|#|Hand Management|#|Trading,Catan|#|Die Fürsten von Catan / The Rivals for Catan|#|Kosmos two-player series,7101,3382,1.32
2016,2–4,40,14+,2.15,Pandemic: Reign of Cthulhu,Horror|#|Mythology,Action Point Allowance System|#|Co-operative Play|#|Hand Management|#|Point to Point Movement|#|Set Collection|#|Trading|#|Variable Player Powers,Cthulhu Mythos|#|Pandemic,7658,1355,1.27
1992,2–4,10,4+,1.05,Loopin' Louie,Action / Dexterity|#|Animals|#|Aviation / Flight|#|Children's Game|#|Electronic|#|Movies / TV / Radio theme|#|Real-time,Player Elimination,Animals: Chickens|#|Celebrities: Walt Disney|#|Toy Story,6920,637,1.44
2014,1–4,120,13+,2.92,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,Card Game|#|Fantasy|#|Fighting|#|Pirates,Co-operative Play|#|Deck / Pool Building|#|Dice Rolling|#|Role Playing|#|Variable Player Powers,Campaign Games|#|Pathfinder Adventure Card Game|#|Solitaire Games,7554,1423,1.53
2007,2–4,45–75,10+,2.88,Caylus Magna Carta,Card Game|#|City Building|#|Economic|#|Medieval,Hand Management|#|Worker Placement,Caylus|#|Ystari originals,6986,4322,1.23
2015,2–4,60–80,12+,2.59,Raiders of the North Sea,Medieval|#|Nautical,Hand Management|#|Set Collection|#|Worker Placement,Crowdfunding: Kickstarter|#|Crowdfunding: Wspieram|#|The North Sea Trilogy|#|Vikings,7889,101,1.07
2009,1–5,45,10+,2.40,Peloponnes,Ancient|#|City Building|#|Civilization,Auction/Bidding|#|Tile Placement,Admin: Better Description Needed!|#|Country: Greece|#|Solitaire Games,7190,2217,1.22
2011,1–6,75,13+,2.58,Yggdrasil,Mythology,Action Point Allowance System|#|Co-operative Play|#|Dice Rolling|#|Set Collection|#|Variable Player Powers,Admin: Better Description Needed!|#|Solitaire Games|#|Vikings,7104,3,1.35
2008,2–4,60,14+,3.23,A Game of Thrones: The Card Game,Card Game|#|Fantasy|#|Fighting|#|Medieval|#|Negotiation|#|Novel-based,Card Drafting|#|Hand Management|#|Simultaneous Action Selection|#|Variable Player Powers,A Game of Thrones LCG|#|Living Card Game|#|A Song of Ice and Fire,6995,5118,1.61
2012,2–5,90–150,14+,3.74,The Great Zimbabwe,Civilization|#|Economic|#|Industry / Manufacturing|#|Transportation,Auction/Bidding|#|Card Drafting|#|Modular Board|#|Route/Network Building|#|Tile Placement|#|Variable Player Powers,Continent: Africa|#|Country: Zimbabwe,7622,1179,1.47
1997,3–4,90,12+,2.73,Primordial Soup,Prehistoric,Dice Rolling|#|Grid Movement|#|Player Elimination|#|Variable Phase Order|#|Variable Player Powers,Admin: Better Description Needed!|#|Evolution,6989,4172,1.30
2008,3–5,45,9+,1.86,Witch's Brew,Bluffing|#|Card Game|#|Fantasy,Hand Management|#|Simultaneous Action Selection,Alea Medium Box|#|Witches,7053,3258,1.19
2010,2–3,45,13+,2.12,Haggis,Card Game,Betting/Wagering|#|Hand Management|#|Trick-taking,Climbing Games|#|Country: Scotland|#|Games by the Game Artisans of Canada|#|Postcard Box Games|#|Shedding Games|#|Traditional Card Games,7049,3168,1.30
2015,1–12,60–180,14+,2.51,Zombicide Season 3: Rue Morgue,Horror|#|Miniatures|#|Zombies,Action Point Allowance System|#|Co-operative Play|#|Dice Rolling|#|Hand Management|#|Modular Board|#|Partnerships|#|Variable Player Powers,Crowdfunding: Kickstarter|#|Solitaire Games|#|Zombicide,7810,1131,1.44
2012,1–4,360,12+,3.68,Andean Abyss,Modern Warfare|#|Political|#|Wargame,Area Control / Area Influence|#|Area Movement|#|Campaign / Battle Card Driven|#|Dice Rolling|#|Variable Phase Order|#|Variable Player Powers,Country: Colombia|#|GMT COIN Series|#|Solitaire Games|#|Solitaire Wargames,7592,1229,1.45
2007,2–5,75,12+,3.09,Hamburgum,City Building|#|Economic,Set Collection,Cities: Hamburg|#|Country: Germany|#|Rondel Series,7085,2757,1.18
2013,2–4,16–32,13+,1.98,Eight-Minute Empire: Legends,Civilization|#|Exploration|#|Mythology|#|Territory Building,Area Control / Area Influence|#|Area Movement|#|Card Drafting|#|Modular Board|#|Set Collection|#|Variable Player Powers,Crowdfunding: Kickstarter|#|Eight-Minute Empire,7120,2616,1.12
2015,2–3,240,12+,3.22,Triumph & Tragedy,Economic|#|Negotiation|#|Political|#|Territory Building|#|Wargame|#|World War II,Area Control / Area Influence|#|Area Movement|#|Campaign / Battle Card Driven|#|Dice Rolling|#|Hand Management|#|Secret Unit Deployment,Block wargames,8410,663,1.25
2014,2–4,45,14+,2.20,Valley of the Kings,Ancient|#|Card Game,Deck / Pool Building|#|Hand Management|#|Set Collection,AEG: Pocket Game|#|Country: Egypt,7176,2248,1.11
2014,2,45,13+,2.69,Akrotiri,Civilization|#|Exploration,Hand Management|#|Pick-up and Deliver|#|Tile Placement,Country: Greece|#|Games by the Game Artisans of Canada,7385,1414,1.09
2014,2–6,90,12+,2.29,Quartermaster General,Wargame|#|World War II,Area Control / Area Influence|#|Campaign / Battle Card Driven|#|Hand Management|#|Partnerships,Quartermaster Series,7536,1234,1.44
2013,3–5,120,8+,2.75,Nothing Personal,Mafia|#|Negotiation,Area Control / Area Influence|#|Dice Rolling|#|Hand Management|#|Take That,Crowdfunding: Kickstarter,7237,1727,1.56
2011,2–4,75,10+,2.33,Ascending Empires,Action / Dexterity|#|City Building|#|Civilization|#|Fighting|#|Science Fiction|#|Space Exploration,Set Collection,4X games|#|Admin: Better Description Needed!|#|Finger Flicking Games,7206,1846,1.41
2010,2–5,180,12+,4.29,High Frontier,Economic|#|Industry / Manufacturing|#|Science Fiction|#|Space Exploration,Auction/Bidding|#|Dice Rolling|#|Hand Management|#|Pick-up and Deliver|#|Point to Point Movement|#|Simulation|#|Variable Player Powers,N/A,7456,1326,1.85
2014,2–4,30,12+,3.46,Doomtown: Reloaded,American West|#|Card Game|#|City Building|#|Fantasy|#|Horror,Area Control / Area Influence|#|Betting/Wagering|#|Hand Management|#|Variable Player Powers,Admin: Better Description Needed!|#|The Weird West (BGG Family),7479,1514,1.69
2007,2,180,12+,3.87,Advanced Squad Leader: Starter Kit #3,Wargame|#|World War II,Dice Rolling|#|Hex-and-Counter,Advanced Squad Leader|#|Advanced Squad Leader Starter Kit,7988,791,1.76
2014,4,15,13+,1.53,Witness,Comic Book / Strip|#|Deduction|#|Memory|#|Murder/Mystery,Co-operative Play|#|Memory,Ystari originals,7397,1355,1.32
2013,2–4,60–120,12+,3.74,Patchistory,Bluffing|#|City Building|#|Civilization|#|Economic|#|Negotiation|#|Political|#|Territory Building,Action Point Allowance System|#|Area Control / Area Influence|#|Auction/Bidding|#|Card Drafting|#|Grid Movement|#|Hand Management|#|Memory|#|Simultaneous Action Selection|#|Tile Placement|#|Variable Player Powers|#|Voting|#|Worker Placement,Tableau Building,7387,1432,1.44
2011,1–8,90–240,12+,2.85,Fortune and Glory: The Cliffhanger Game,Adventure|#|Card Game|#|Miniatures,Area Movement|#|Co-operative Play|#|Dice Rolling|#|Pick-up and Deliver|#|Press Your Luck|#|Roll / Spin and Move|#|Variable Player Powers,Fortune and Glory|#|Solitaire Games,7112,254,1.62
2004,2–5,30,10+,1.76,Fairy Tale,Card Game|#|Fantasy,Card Drafting|#|Hand Management|#|Set Collection|#|Simultaneous Action Selection,Animals: Dragons|#|Anime & Manga|#|Z-Man / Filosofia deluxe card game series,6800,6898,1.24
2011,2–5,15,7+,1.47,Tales & Games: The Hare & the Tortoise,Animals|#|Card Game|#|Novel-based|#|Racing,Betting/Wagering|#|Hand Management,Tales & Games,7213,1855,1.09
2012,2–5,90–120,12+,3.22,Wallenstein (second edition),Economic|#|Renaissance|#|Territory Building,Action / Movement Programming|#|Action Point Allowance System|#|Area Control / Area Influence|#|Area Movement|#|Simultaneous Action Selection|#|Variable Phase Order,Country: Germany|#|Crowdfunding: Kickstarter,7711,933,1.29
2008,2–8,90,12+,2.55,A Touch of Evil: The Supernatural Game,Adventure|#|Fighting|#|Horror|#|Murder/Mystery,Area Movement|#|Co-operative Play|#|Dice Rolling|#|Roll / Spin and Move|#|Variable Player Powers,A Touch of Evil,6991,3771,1.50
2005,1–2,360,12+,4.12,Empire of the Sun,Nautical|#|Wargame|#|World War II,Action Point Allowance System|#|Campaign / Battle Card Driven|#|Dice Rolling|#|Hex-and-Counter,Asian Theme,7894,865,1.67
2005,2–4,15,4+,1.04,Animal Upon Animal,Action / Dexterity|#|Animals|#|Children's Game,Dice Rolling,Tier auf Tier,6900,4126,1.16
2013,2–5,45,10+,2.56,Rialto,Political|#|Renaissance,Area Control / Area Influence|#|Auction/Bidding|#|Card Drafting,Cities: Venice|#|Country: Italy,6997,2801,1.18
2014,2–4,45,12+,2.48,Trains: Rising Sun,Card Game|#|Territory Building|#|Trains,Deck / Pool Building|#|Hand Management|#|Route/Network Building,AEG: Big in Japan|#|AEG: Destination Fun|#|Country: Japan,7662,973,1.16
2009,2–5,60,8+,1.67,Dice Town,American West|#|Dice,Dice Rolling|#|Set Collection|#|Simultaneous Action Selection|#|Variable Phase Order,N/A,6858,4948,1.27
2015,2–5,60–90,12+,2.68,The Big Book of Madness,Card Game|#|Fantasy,Co-operative Play|#|Deck / Pool Building|#|Hand Management|#|Player Elimination|#|Variable Player Powers,N/A,7255,176,1.28
2015,2–5,20–30,8+,1.25,Loony Quest,Action / Dexterity|#|Fantasy|#|Real-time,Line Drawing,N/A,7150,2042,1.13
2015,2–4,30–45,10+,1.82,Risk: Star Wars Edition,Dice|#|Movies / TV / Radio theme|#|Science Fiction|#|Wargame,Area Control / Area Influence|#|Area Movement|#|Campaign / Battle Card Driven|#|Dice Rolling|#|Variable Player Powers,Risk|#|Star Wars,7267,1611,1.12
1996,2,90,10+,2.45,Catan Card Game,Card Game|#|City Building|#|Territory Building,Card Drafting|#|Dice Rolling|#|Hand Management|#|Trading,Catan|#|Die Siedler von Catan: Das Kartenspiel / Catan Card Game|#|Kosmos two-player series,6779,10884,1.40
2001,3–5,60,14+,2.34,Evo,Animals|#|Prehistoric|#|Science Fiction,Action Point Allowance System|#|Area Control / Area Influence|#|Area Movement|#|Auction/Bidding|#|Dice Rolling|#|Hand Management|#|Variable Player Powers,Animals: Dinosaurs|#|Evolution,6899,4088,1.20
2012,2–5,15,8+,1.15,Qwixx,Dice,Dice Rolling|#|Paper-and-Pencil,Mensa Select,6914,3837,1.20
2010,2–5,120,14+,3.63,De Vulgari Eloquentia,Medieval,Action Point Allowance System|#|Area Movement,Cities: Ancona|#|Cities: Bologna|#|Cities: Genova|#|Cities: Naples|#|Cities: Palermo|#|Cities: Urbino|#|Country: Italy,7320,1481,1.38
2012,2–5,45,15+,2.03,DC Comics Deck-Building Game,Card Game|#|Comic Book / Strip,Deck / Pool Building,Cerberus Engine: Heroes|#|Comics: DC Universe|#|Superheroes,7007,3694,1.51
2004,3–5,90,12+,2.67,Fire & Axe: A Viking Saga,Medieval|#|Nautical,Action Point Allowance System|#|Area Movement|#|Dice Rolling|#|Pick-up and Deliver,Country: Denmark|#|Country: Norway|#|Country: Sweden|#|Vikings,7034,2513,1.33
1997,2,30–60,9+,2.77,GIPF,Abstract Strategy,Grid Movement|#|Pattern Building,Combinatorial|#|GIPF Project,7105,2205,1.34
2014,2–4,90,12+,2.93,The Golden Ages,Civilization|#|Territory Building,Area Control / Area Influence|#|Card Drafting|#|Modular Board|#|Tile Placement|#|Worker Placement,Quined Master Print Edition Series,7413,1306,1.13
2015,2,60,14+,2.21,DC Comics Dice Masters: Justice League,Collectible Components|#|Comic Book / Strip|#|Dice,Deck / Pool Building|#|Dice Rolling,CDGs (Collectible Dice Games)|#|Comics: DC Universe|#|Dice Masters|#|Quarriors Pool Building system,7662,975,1.39
1997,2–5,60,8+,2.02,Colossal Arena,Card Game|#|Fantasy|#|Mythology,Betting/Wagering|#|Hand Management,Fantasy Flight Silver Line Games|#|Knizia Betting Trilogy|#|Monsters,6809,6202,1.22
